WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 183,  18.300,  255084.55,  18.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 184,  18.400,  254781.81,  18.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 185,  18.500,  254510.36,  18.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 186,  18.600,  254172.27,  18.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 187,  18.700,  253991.64,  18.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 188,  18.800,  254019.00,  18.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 189,  18.900,  253788.73,  18.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 190,  19.000,  254215.55,  19.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 191,  19.100,  254221.27,  19.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 192,  19.200,  253907.09,  19.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 193,  19.300,  253969.55,  19.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 194,  19.400,  253981.09,  19.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 195,  19.500,  254294.27,  19.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 196,  19.600,  254070.19,  19.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 197,  19.700,  254054.91,  19.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 198,  19.800,  254049.27,  19.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 199,  19.900,  254056.64,  19.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 200,  20.000,  254040.09,  20.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 201,  20.100,  253546.45,  20.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 202,  20.200,  253531.81,  20.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 203,  20.300,  253802.91,  20.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 204,  20.400,  253537.09,  20.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 205,  20.500,  253697.91,  20.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 206,  20.600,  253615.64,  20.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 207,  20.700,  253799.00,  20.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 208,  20.800,  253959.81,  20.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 209,  20.900,  253505.00,  20.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 210,  21.000,  253299.19,  21.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 211,  21.100,  253174.27,  21.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 212,  21.200,  253385.45,  21.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 213,  21.300,  253440.09,  21.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 214,  21.400,  253233.09,  21.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 215,  21.500,  253362.55,  21.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 216,  21.600,  252867.19,  21.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 217,  21.700,  252589.91,  21.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 218,  21.800,  252545.91,  21.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 219,  21.900,  252411.19,  21.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 220,  22.000,  252747.91,  22.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 221,  22.100,  252623.45,  22.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 222,  22.200,  252847.55,  22.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 223,  22.300,  252759.27,  22.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 224,  22.400,  252500.91,  22.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 225,  22.500,  252531.36,  22.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 226,  22.600,  252331.73,  22.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 227,  22.700,  252309.73,  22.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 228,  22.800,  252299.00,  22.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 229,  22.900,  252239.36,  22.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 230,  23.000,  252268.45,  23.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 231,  23.100,  252119.91,  23.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 232,  23.200,  252261.09,  23.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 233,  23.300,  252270.36,  23.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 234,  23.400,  252364.27,  23.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 235,  23.500,  252211.73,  23.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 236,  23.600,  251973.19,  23.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 237,  23.700,  252002.19,  23.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 238,  23.800,  252122.00,  23.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 239,  23.900,  251940.00,  23.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 240,  24.000,  251899.73,  24.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 241,  24.100,  251648.55,  24.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 242,  24.200,  251474.55,  24.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 243,  24.300,  251425.36,  24.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 244,  24.400,  251313.64,  24.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 245,  24.500,  250966.45,  24.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 246,  24.600,  250994.09,  24.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 247,  24.700,  251033.36,  24.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 248,  24.800,  250987.81,  24.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 249,  24.900,  250782.64,  24.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 250,  25.000,  250978.55,  25.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 251,  25.100,  250886.45,  25.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 252,  25.200,  250941.36,  25.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 253,  25.300,  251130.27,  25.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 254,  25.400,  250990.19,  25.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 255,  25.500,  250952.64,  25.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 256,  25.600,  251046.73,  25.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 257,  25.700,  251270.27,  25.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 258,  25.800,  251240.81,  25.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 259,  25.900,  251296.64,  25.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 260,  26.000,  251594.00,  26.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 261,  26.100,  251442.64,  26.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 262,  26.200,  251370.81,  26.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 263,  26.300,  251342.00,  26.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 264,  26.400,  251090.55,  26.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 265,  26.500,  251142.64,  26.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 266,  26.600,  251009.00,  26.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 267,  26.700,  251065.19,  26.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 268,  26.800,  250862.55,  26.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 269,  26.900,  250787.64,  26.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 270,  27.000,  250506.81,  27.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 271,  27.100,  250142.45,  27.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 272,  27.200,  250152.45,  27.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 273,  27.300,  250176.64,  27.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 274,  27.400,  250005.19,  27.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 275,  27.500,  250175.36,  27.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 276,  27.600,  250292.81,  27.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
